Key,SourceString,en
Card.Name.1_RapidTower_Fire_Sneeze,"Огненный чих","Fire sneeze"
Card.Description.1_RapidTower_Fire_Sneeze,"Каждый <Style.Shot>3 Выстрел</> <img id=""Icon.Shot""/> накладывает <Style.Burn>Поджог</> <img id=""Icon.Burn""/> на 4 сек.
(<Style.Damage>2 Урона</> / сек).
Сбрасывается если цель не Атакуется.","Every <Style.Shot>3 Shot</> <img id=""Icon.Shot""/> applies <Style.Burn>Burn</> <img id=""Icon.Burn""/> for 4 sec.
(<Style.Damage>2 Damage</> / sec).
Resets if the target is not attacked."
Card.Name.1_RapidTower_Whack-whack,"Вжик-вжик","Whizz-Whizz"
Card.Description.1_RapidTower_Whack-whack,"Каждый <Style.Shot>Выстрел</> <img id=""Icon.Shot""/>,
повышает <Style.AttackSpeed>Скорость Атаки на +5%</> <img id=""Icon.AttackSpeed""/>.
(макс. <Style.AttackSpeed>25%</>). 
Сбрасывается при смене цели.","Every <Style.Shot>Shot</> <img id=""Icon.Shot""/>,
increases <Style.AttackSpeed>Attack Speed by +5%</> <img id=""Icon.AttackSpeed""/>.
(max. <Style.AttackSpeed>25%</>). 
Resets when changing target."
Card.Name.1_RapidTower_SplitClaw,"Раздвоенный коготь","Split claw"
Card.Description.1_RapidTower_SplitClaw,"Каждый <Style.Shot>3 Выстрел</> <img id=""Icon.Shot""/>,
выпускает
<Style.ExtraProjectile>доп. Снаряд</> <img id=""Icon.ExtraProjectile""/>.","Every <Style.Shot>3 Shot</> <img id=""Icon.Shot""/>,
fires
<Style.ExtraProjectile>an extra projectile</> <img id=""Icon.ExtraProjectile""/>."
Card.Name.1_RapidTower_WallVampire,"Стеночный вампир","Wall vampire"
Card.Description.1_RapidTower_WallVampire,"Каждый <Style.Shot>Выстрел</> <img id=""Icon.Shot""/> Башни по Врагу, восстанавливает 
<Style.Health>5 Здоровья</> <img id=""Icon.Health""/>
Стенам в Области 1 клетки вокруг Башни.","Every <Style.Shot>Shot</> <img id=""Icon.Shot""/> from the Tower to an enemy restores 
<Style.Health>5 Health</> <img id=""Icon.Health""/>
to Walls within 1-tile area around the Tower."
Card.Name.1_RapidTower_BurningEyes,"Горящие глазки","Burning eyes"
Card.Description.1_RapidTower_BurningEyes,"Приоритет цели по Врагам 
с <Style.Health>Низким Здоровьем</> <img id=""Icon.Health""/>.","Target priorities for Enemies 
with <Style.Health>Low Health</> <img id=""Icon.Health""/>."
Card.Name.1_SniperTower_Bestial_Anger,"Звериный гнев","Bestial anger"
Card.Description.1_SniperTower_Bestial_Anger,"Каждый <Style.Shot>Выстрел</> <img id=""Icon.Shot""/>,
повышает <Style.Damage>Урон на +5%</> <img id=""Icon.Damage""/>
(макс. <Style.Damage>25%</>). 
Сбрасывается при смене цели.","Every <Style.Shot>Shot</> <img id=""Icon.Shot""/>,
increases <Style.Damage>Damage by +5%</> <img id=""Icon.Damage""/>
(max. <Style.Damage>25%</>). 
Resets when changing target."
Card.Name.1_SniperTower_PredatorsInstinct,"Инстинкт хищника","Predator instinct"
Card.Description.1_SniperTower_PredatorsInstinct,"Враги со
<Style.Health>Здоровьем ниже 40%</> <img id=""Icon.Health""/>, получают на
<Style.Damage>+35% Урона</> <img id=""Icon.Damage""/>
больше.","Enemies with
<Style.Health>Health below 40%</> <img id=""Icon.Health""/>, take
<Style.Damage>+35% more Damage</> <img id=""Icon.Damage""/>."
Card.Name.1_SniperTower_Signature_Punch,"Фирменный удар","Signature punch"
Card.Description.1_SniperTower_Signature_Punch,"Каждый <Style.Shot>5 Выстрел</> <img id=""Icon.Shot""/>, повышает
<Style.Damage>Урон Башни на +200%</> <img id=""Icon.Damage""/>.
После <Style.Shot>Выстрела</> <img id=""Icon.Shot""/> эффект сбрасывается.","Every <Style.Shot>5 Shot</> <img id=""Icon.Shot""/>, increases
<Style.Damage>Tower Damage by +200%</> <img id=""Icon.Damage""/>.
The effect resets after <Style.Shot>Shot</> <img id=""Icon.Shot""/>."
Card.Name.1_SniperTower_FireExcitement,"Огненный азарт","Fire excitement"
Card.Description.1_SniperTower_FireExcitement,"Каждый <Style.Shot>Выстрел</> <img id=""Icon.Shot""/> по <Style.Burn>Горящему</> <img id=""Icon.Burn""/> Врагу, повышает <Style.AttackSpeed>Скорость Атаки на +5%</> <img id=""Icon.AttackSpeed""/> (макс. <Style.AttackSpeed>25%</>). 
Сбрасывается при смене цели.","Every <Style.Shot>Shot</> <img id=""Icon.Shot""/> against a <Style.Burn>Burning</> <img id=""Icon.Burn""/> Enemy increases <Style.AttackSpeed>Attack Speed by +5%</> <img id=""Icon.AttackSpeed""/> (max. <Style.AttackSpeed>25%</>). 
Resets when changing target."
Card.Name.1_MagicalTower_CatCold,"Кошачий холод","Cat cold"
Card.Description.1_MagicalTower_CatCold,"Каждый <Style.Shot>Выстрел</> <img id=""Icon.Shot""/>, накладывает <Style.Slow>Замедление на 5%</> <img id=""Icon.Slow""/>.
(макс. <Style.Slow>20%</>).
Сбрасывается через 7 сек.
Если цель не Атакуется.","Every <Style.Shot>Shot</> <img id=""Icon.Shot""/>, applies <Style.Slow>Slow by 5%</> <img id=""Icon.Slow""/>.
(max. <Style.Slow>20%</>).
Resets after 7 sec.
If the target is not Attacked."
Card.Name.1_MagicalTower_WizardRhythm,"Колдовской ритм","Meowgical rhythm"
Card.Description.1_MagicalTower_WizardRhythm,"Каждый <Style.Shot>Выстрел</> <img id=""Icon.Shot""/>,
повышает <Style.Damage>Урон на +5%</> <img id=""Icon.Damage""/>
(макс. <Style.Damage>25%</>).
Сбрасывается при смене цели.","Every <Style.Shot>Shot</> <img id=""Icon.Shot""/>,
increases <Style.Damage>Damage by +5%</> <img id=""Icon.Damage""/>
(max. <Style.Damage>25%</>).
Resets when changing target."
Card.Name.1_MagicalTower_StickySleep,"Вязкий сон","Sticky sleep"
Card.Description.1_MagicalTower_StickySleep,"Каждый <Style.Shot>Выстрел</> <img id=""Icon.Shot""/> по <Style.Slow>Замедленному</> <img id=""Icon.Slow""/> Врагу, повышает <Style.Damage>Урон на +2%</> <img id=""Icon.Damage""/>
(макс. <Style.Damage>12%</>).
Сбрасывается при смене цели.","Every <Style.Shot>Shot</> <img id=""Icon.Shot""/> against a <Style.Slow>Slowed</> <img id=""Icon.Slow""/> Enemy, increases <Style.Damage>Damage by +2%</> <img id=""Icon.Damage""/>
(max. <Style.Damage>12%</>).
Resets when changing target."
Card.Name.1_MortarTower_BloatedLump,"Раздутый ком","Bulging clump"
Card.Description.1_MortarTower_BloatedLump,"Каждый <Style.Shot>3 Выстрел</> <img id=""Icon.Shot""/> увеличивает
<Style.Shot>Область урона на +65%</>.
После <Style.Shot>Выстрела</> <img id=""Icon.Shot""/> эффект сбрасывается.","Every <Style.Shot>3 Shot</> <img id=""Icon.Shot""/> increases
<Style.Shot>Damage area by +65%</>.
The effect resets after <Style.Shot>Shot</> <img id=""Icon.Shot""/>."
Card.Name.1_MortarTower_Shrapnel,"Осколочная шерсть","Fur shrapnel"
Card.Description.1_MortarTower_Shrapnel,"Стены отражают
<Style.Damage>25% Урона</> <img id=""Icon.Damage""/>,
который нанёс <Style.Damage>Атакующий</>.","Walls reflect
<Style.Damage>25% of Damage</> <img id=""Icon.Damage""/>,
dealt by the <Style.Damage>Attacker</>."
Card.Name.1_MortarTower_SulkyKitty,"Обидчивый котик","Sulk Kitty"
Card.Description.1_MortarTower_SulkyKitty,"Каждый <Style.Shot>Промах</> Мортиры,
повышает <Style.Damage>Урон на +5%</> <img id=""Icon.Damage""/>
(макс. <Style.Damage>25%</>).
Сбрасывается при попадании.","Every <Style.Shot>Miss</> of the Mortar,
increases <Style.Damage>Damage by +5%</> <img id=""Icon.Damage""/>
(max. <Style.Damage>25%</>).
Resets on hit."
Card.Name.1_Ruins_Walls_CatRevenge,"Кошачья мстя","Cat revenge"
